"ET_ID";"Id";"ET_Index";"Temp_21";"Prec_21";"BIO12_Prec";"X_cen";"Y_cen";"R_Odonata";"R_Lotic";"R_Lentic";"Temp_0";"Prec_0";"vart";"varp";"H_Lent";"H_Lot"
510;0;"4--50";15.7132;122.475;439.363;4725000;1525000;31;5;26;17;500.75;1.2868;378.275;0;0
511;0;"4--51";15.7276;123.898;452.019;4775000;1525000;36;6;30;17;524;1.2724;400.102;0;0
588;0;"5--13";15.8413;82.6468;785.692;2875000;1575000;42;13;29;16;797.75;0.1587;715.1032;0;0
589;0;"5--14";16.192;75.5277;798.729;2925000;1575000;49;15;34;16;766.75;-0.192;691.2223;650000;3173
623;0;"5--48";15.2572;124.961;457.733;4625000;1575000;29;5;24;16.8;563;1.5428;438.039;8e+05;5001
624;0;"5--49";15.3229;130.029;429.552;4675000;1575000;30;5;25;16.75;523;1.4271;392.971;3110000;62182
625;0;"5--50";15.3001;132.755;446.385;4725000;1575000;38;7;31;17;530.5;1.6999;397.745;4860000;99506
626;0;"5--51";15.3015;135.986;498.599;4775000;1575000;36;6;30;17;559;1.6985;423.014;10590000;61614
639;0;"5--64";15.508;95.6304;707.536;5425000;1575000;33;7;26;16.75;706.5;1.242;610.8696;0;6436
640;0;"5--65";15.5422;90.7152;588.528;5475000;1575000;34;7;27;16.3333;656.333;0.791100000000002;565.6178;0;39989
703;0;"6--13";14.965;109.214;713.489;2875000;1625000;42;13;29;16;760.25;1.035;651.036;6840000;36845
704;0;"6--14";15.7097;98.0272;786.13;2925000;1625000;50;15;35;15;742;-0.7097;643.9728;37690000;204604
705;0;"6--15";16.0033;91.7918;718.924;2975000;1625000;52;15;37;15;745.5;-1.0033;653.7082;2190000;45992
706;0;"6--16";16.1582;86.3299;562.376;3025000;1625000;48;11;37;15;693.5;-1.1582;607.1701;1820000;54631
707;0;"6--17";16.3713;70.7713;486.483;3075000;1625000;45;10;35;14.75;592.75;-1.6213;521.9787;520000;4321
709;0;"6--19";15.7976;60.0272;400.663;3175000;1625000;40;8;32;14.6667;549;-1.1309;488.9728;4750000;67227
710;0;"6--20";15.808;55.2813;291.967;3225000;1625000;38;8;30;15.3333;477.333;-0.4747;422.0517;1530000;25173
711;0;"6--21";15.652;54.913;276.854;3275000;1625000;32;5;27;15;460.5;-0.651999999999999;405.587;280000;0
736;0;"6--46";15.0084;128.151;463.138;4525000;1625000;26;4;22;17;564.75;1.9916;436.599;0;0
737;0;"6--47";15.0274;128.319;506.84;4575000;1625000;34;5;29;16.6667;595.333;1.6393;467.014;9320000;51075
738;0;"6--48";15.0946;130.709;516.116;4625000;1625000;37;7;30;16;669;0.9054;538.291;4040000;118782
739;0;"6--49";15.1598;134.269;480.17;4675000;1625000;39;7;32;15.5;626.5;0.340199999999999;492.231;1130000;66416
740;0;"6--50";15.1992;134.969;496.178;4725000;1625000;44;8;36;15.5;564.25;0.300800000000001;429.281;15150000;250646
